method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,14,72,604.2122371840524,-5325.480830252905,-5141.814583610048,,5000,1,32645500,ok
DS order-1.5 block Gaussian,20,20,14,84,702.7137517670635,-4405.131714924411,-4149.546107008335,,5000,1,32645512,ok
DS order-1.5 block Gaussian,20,20,14,95,801.755533372052,-4449.143885109458,-4189.889116314534,,5000,1,32645523,ok
DS order-1.5 block Gaussian,20,20,15,0,10.485557693056762,-18657.83151760864,-8153.404337855495,,5000,1,32646425,ok
DS order-1.5 block Gaussian,20,20,15,11,100.99682558595669,-4994.190931436764,-4555.559614952807,,5000,1,32646436,ok
DS order-1.5 block Gaussian,20,20,15,24,207.46294496103656,-4418.081000547385,-4280.8095998886,,5000,1,32646449,ok
DS order-1.5 block Gaussian,20,20,15,36,305.96747736702673,-4408.25070268146,-4287.2738575473095,,5000,1,32646461,ok
DS order-1.5 block Gaussian,20,20,15,48,404.4806540260324,-4226.276484635183,-4132.051601911086,,5000,1,32646473,ok
DS order-1.5 block Gaussian,20,20,15,60,505.78909489000216,-4230.921197722998,-4053.4911365278285,,5000,1,32646485,ok
DS order-1.5 block Gaussian,20,20,15,71,602.0340359930415,-4213.003108280243,-4113.396115530005,,5000,1,32646496,ok
DS order-1.5 block Gaussian,20,20,15,83,700.5622289440362,-4104.322507850738,-4054.6934986695405,,5000,1,32646508,ok
DS order-1.5 block Gaussian,20,20,15,96,807.0323518610094,-4046.062992821823,-3960.579460795169,,5000,1,32646521,ok
DS order-1.5 block Gaussian,20,20,16,0,10.713972943020053,-650431.251762369,-10620.10518975802,,5000,1,32647422,ok
DS order-1.5 block Gaussian,20,20,16,11,101.21413857699372,-8181.029373691129,-4483.063203771526,,5000,1,32647433,ok
DS order-1.5 block Gaussian,20,20,16,24,207.6500231929822,-4856.827886003479,-4373.936639395782,,5000,1,32647446,ok
DS order-1.5 block Gaussian,20,20,16,36,306.16177829599474,-4639.4689563317415,-4266.0123460499835,,5000,1,32647458,ok
DS order-1.5 block Gaussian,20,20,16,48,404.69302428595256,-4522.883466760014,-4182.898290150328,,5000,1,32647470,ok
DS order-1.5 block Gaussian,20,20,16,60,505.97632293996867,-4398.478964668525,-4104.752176617115,,5000,1,32647482,ok
DS order-1.5 block Gaussian,20,20,16,72,604.5062201690162,-4307.467697496739,-4049.331144274442,,5000,1,32647494,ok
DS order-1.5 block Gaussian,20,20,16,84,703.0091991750523,-4129.6355143928095,-3975.6073404520225,,5000,1,32647506,ok
DS order-1.5 block Gaussian,20,20,16,96,801.4755517899757,-4071.6051499622517,-3917.8591039845833,,5000,1,32647518,ok
DS order-1.5 block Gaussian,20,20,17,0,10.498654276016168,-174118.75395182183,-12582.590744907517,,5000,1,32648419,ok
DS order-1.5 block Gaussian,20,20,17,11,100.99326680705417,-10285.326094666609,-8295.973040702147,,5000,1,32648430,ok
DS order-1.5 block Gaussian,20,20,17,24,207.41997380403336,-6675.8609755389425,-6411.36598872855,,5000,1,32648443,ok
DS order-1.5 block Gaussian,20,20,17,36,305.9157459860435,-5972.656884554637,-6024.410729280329,,5000,1,32648455,ok
DS order-1.5 block Gaussian,20,20,17,48,404.3996847399976,-5454.258543368081,-5651.640846638182,,5000,1,32648467,ok
DS order-1.5 block Gaussian,20,20,17,60,505.6936284659896,-5052.759285887037,-4941.031699205558,,5000,1,32648479,ok
DS order-1.5 block Gaussian,20,20,17,72,604.2485367270419,-4519.32783486036,-4127.273335426463,,5000,1,32648491,ok
